"term","gene"
"GO:0006888","RER2"
"GO:0009101","RER2"
"GO:0043048","RER2"
"GO:0006744","COQ1"
"GO:0008299","COQ1"
"GO:1901663","COQ1"
"GO:0006506","GPI18"
"GO:0031505","GPI18"
"GO:0006033","RCR1"
"GO:0016192","RCR1"
"GO:0016567","RCR1"
"GO:0071555","RCR1"
"GO:0072659","RCR1"
"GO:0006540","UGA2"
"GO:0009450","UGA2"
"GO:0034599","UGA2"
"GO:0008150","DSF2"
"GO:0015903","FLR1"
"GO:0055085","FLR1"
"GO:1990961","FLR1"
"GO:0006325","HHF1"
"GO:0006355","HHF1"
"GO:0042790","HHF1"
"GO:0045943","HHF1"
"GO:0006325","HHT1"
"GO:0006355","HHT1"
"GO:0006878","HHT1"
"GO:0009060","HHT1"
"GO:0009303","HHT1"
"GO:0042790","HHT1"
"GO:0043935","HHT1"
"GO:0045943","HHT1"
"GO:0070911","HHT1"
"GO:0006796","IPP1"
"GO:0008150","YBR013C"
"GO:0006879","GRX7"
"GO:0016226","GRX7"
"GO:0034599","GRX7"
"GO:0098869","GRX7"
"GO:0009101","MNN2"
"GO:0008150","CPP1"
"GO:0006606","KAP104"
"GO:0010458","KAP104"
"GO:0015031","KAP104"
"GO:0051028","KAP104"
"GO:0006012","GAL7"
"GO:0033499","GAL7"
"GO:0044281","GAL7"
"GO:0005975","GAL10"
"GO:0006012","GAL10"
"GO:0006796","GAL10"
"GO:0019318","GAL10"
"GO:0019637","GAL10"
"GO:0033499","GAL10"
"GO:0044281","GAL10"
"GO:1901135","GAL10"
"GO:0000411","GAL1"
"GO:0000435","GAL1"
"GO:0006012","GAL1"
"GO:0033499","GAL1"
"GO:0046835","GAL1"
"GO:0015857","FUR4"
"GO:0055085","FUR4"
"GO:1903791","FUR4"
"GO:0006388","POA1"
"GO:0006031","CHS3"
"GO:0030476","CHS3"
"GO:0071555","CHS3"
"GO:0097271","CHS3"
"GO:0006878","SCO2"
"GO:0008535","SCO2"
"GO:0017004","SCO2"
"GO:0034599","SCO2"
"GO:0045454","SCO2"
"GO:1900036","OLA1"
"GO:0006629","ETR1"
"GO:0006631","ETR1"
"GO:0006633","ETR1"
"GO:0009060","ETR1"
"GO:0008150","YBR027C"
"GO:0018105","YPK3"
"GO:0046777","YPK3"
"GO:0006629","CDS1"
"GO:0006658","CDS1"
"GO:0008654","CDS1"
"GO:0016024","CDS1"
"GO:0046488","CDS1"
"GO:0018026","RKM3"
"GO:0032259","RKM3"
"GO:0002181","RPL4A"
"GO:0006412","RPL4A"
"GO:0008150","YBR032W"
"GO:0006355","EDS1"
"GO:0006357","EDS1"
"GO:0008150","EDS1"
"GO:0006406","HMT1"
"GO:0018216","HMT1"
"GO:0032259","HMT1"
"GO:0032968","HMT1"
"GO:0046656","HMT1"
"GO:0060567","HMT1"
"GO:0008615","PDX3"
"GO:0009443","PDX3"
"GO:0042816","PDX3"
"GO:0006676","CSG2"
"GO:0006688","CSG2"
"GO:0006874","CSG2"
"GO:0019722","CSG2"
"GO:0032469","CSG2"
"GO:1903514","CSG2"
"GO:0006878","SCO1"
"GO:0008535","SCO1"
"GO:0017004","SCO1"
"GO:0033617","SCO1"
"GO:0034599","SCO1"
"GO:0045454","SCO1"
"GO:0006031","CHS2"
"GO:0071555","CHS2"
"GO:1902404","CHS2"
"GO:0006754","ATP3"
"GO:0006811","ATP3"
"GO:0015986","ATP3"
"GO:1902600","ATP3"
"GO:0000753","FIG1"
"GO:0000755","FIG1"
"GO:0000038","FAT1"
"GO:0006515","FAT1"
"GO:0006869","FAT1"
"GO:0044539","FAT1"
"GO:0006629","CST26"
"GO:0006644","CST26"
"GO:0008654","CST26"
"GO:0036149","CST26"
"GO:0010509","QDR3"
"GO:0015826","QDR3"
"GO:0030476","QDR3"
"GO:0032973","QDR3"
"GO:0048878","QDR3"
"GO:0055085","QDR3"
"GO:1902047","QDR3"
"GO:0034553","TCM62"
"GO:0042026","TCM62"
"GO:0051131","TCM62"
"GO:0030476","GIP1"
"GO:0034599","ZTA1"
"GO:0008150","FMP23"
"GO:0000028","RPS11B"
"GO:0000462","RPS11B"
"GO:0006412","RPS11B"
"GO:0001174","REB1"
"GO:0006353","REB1"
"GO:0006357","REB1"
"GO:0006369","REB1"
"GO:0045944","REB1"
"GO:1904547","REG2"
"GO:0071333","REG2"
"GO:0160020","RFS1"
"GO:0008150","YBR053C"
"GO:0008150","YRO2"
"GO:0000398","PRP6"
"GO:0006396","PRP6"
"GO:0006397","PRP6"
"GO:0008150","PRP6"
"GO:0008380","PRP6"
"GO:0008150","MRX18"
"GO:0006279","MUM2"
"GO:0030435","MUM2"
"GO:0051321","MUM2"
"GO:2000221","MUM2"
"GO:0006508","UBP14"
"GO:0016579","UBP14"
"GO:0043161","UBP14"
"GO:0045721","UBP14"
"GO:1900186","AKL1"
"GO:0006260","ORC2"
"GO:0006267","ORC2"
"GO:0006270","ORC2"
"GO:0030466","ORC2"
"GO:0031509","ORC2"
"GO:0001510","TRM7"
"GO:0002128","TRM7"
"GO:0002130","TRM7"
"GO:0002181","TRM7"
"GO:0008033","TRM7"
"GO:0030488","TRM7"
"GO:0032259","TRM7"
"GO:0008150","YBR062C"
"GO:0140056","CNM1"
"GO:0000398","ECM2"
"GO:0006397","ECM2"
"GO:0008380","ECM2"
"GO:0000122","NRG2"
"GO:0043709","NRG2"
"GO:2000218","NRG2"
"GO:2000221","NRG2"
"GO:0031505","TIP1"
"GO:0006865","BAP2"
"GO:0015823","BAP2"
"GO:0055085","BAP2"
"GO:1903801","BAP2"
"GO:0006865","TAT1"
"GO:0015827","TAT1"
"GO:0015828","TAT1"
"GO:0055085","TAT1"
"GO:0006488","ALG14"
"GO:0008150","YBR071W"
"GO:0006457","HSP26"
"GO:0034605","HSP26"
"GO:0006281","RDH54"
"GO:0006310","RDH54"
"GO:0006974","RDH54"
"GO:0007131","RDH54"
"GO:0030491","RDH54"
